image_id,transcription,india_label,western_label,china_label,image_path
391,കോളേജിൽ പുതിയ പെൺകുട്ടി വന്നാൽ Girls എടീ..അപ്പുറത്തെ ക്ലാസ്സിലെ ആ പുതിയ കൊച്ചിന്റെ പേരെന്താ ? © സനൽ Boys അളിയാ..അപ്പുറത്തെ ക്ലാസ്സിലെ പുതിയകൊച്ചിന്റെ പേര് അശ്വതി..വീട് കോട്ടയം..അച്ഛൻ ഗൾഫിൽ..നായർ ആണ്..ചേട്ടൻ ഇല്ല..ഫേസ്ബുക്കിൽ ഉണ്ട്. ENTERTAINMENT HUB EH Orange,0,0,0,E:/pep/data/images/malayalam\391
848,തത്സമയം കൈരളി ചാനലിൽ ട്രോൾ മലയാളം fb.com/troll.malayalam CENTRAL TALKIES എല്ലാം എന്തോന്നാ തപ്പി കളിക്കുന്നത് ഓണത്തിന് ഇട്ട് വെച്ച വല്യേട്ടന്റെ CD ഇവിടെ എവിടെയോ ആയിരുന്നോ: വെച്ചത്,0,0,0,E:/pep/data/images/malayalam\848
94,ഹണിടെ കുണ്ടിയിൽ തൊട്ടു,1,1,1,E:/pep/data/images/malayalam\94
237,കാണാൻ വല്യ ഭംഗിയില്ല കയ്യിൽ പൈസന്റെ എഴെണ്ണം ഇല്ല പ്രേമിച്ച് നടക്കാൻ കാശുകല്ല പുറത്തിറങ്ങാൻ സ്വാതന്ത്ര്യവും ഇല്ല ആകെഉള്ളൊരു ഫോൺ... അതുംപിന്നെ വീട്ടിൽ വഴക്കാ. ഇതാണ് എന്റെ അവസ്ഥ എന്താണല്ലേ?,0,0,0,E:/pep/data/images/malayalam\237
859,ഇന്ത്യ എന്ന വാക്ക് ഒഴിവാക്കാൻ കേന്ദ്രസർക്കാർ നീക്കം 'LDFന് വലിയ പ്രതീക്ഷ' ELECTION BREAKING ട്രോൾ മലയാളം fb.com/troll.malayalam इंडियनऑयल IndianOil ഇത്രയും വലിയ ഗതികെട്ടവൻ വേറെ ഈ നാട്ടിൽ കാണുമോ? MUMBAI INDIANS,0,0,0,E:/pep/data/images/malayalam\859
784,28.09.2023 കരുവന്നൂർ ആധാരങ്ങൾ ED കൊണ്ടുപോയി തിരികെക്കിട്ടാതെ എങ്ങനെ പണം കൊടുക്കും? സഹകരണമന്ത്രി mathrubhumi.com ട്രോൾ മലയാളം Troll Meme Malayalam കഴിഞ്ഞ ഒരു കൊല്ലമായി നിങ്ങൾ മാങ്ങ പറിക്കാൻ നടക്കായിരുന്നോ? മന്ത്രി,0,0,0,E:/pep/data/images/malayalam\784
91,നാട്ടിൽ അത്യാവശ്യം അറിയപ്പെടുന്ന ചേച്ചി ഒരു സുപ്രഭാതത്തിൽ ഒരു 3000രൂപ മറിക്കാനുണ്ടോടാ എന്ന് ചോദിച്ചപ്പോൾ ചക്ക് ഒരു കളിക്കളള വിളിയല്ലേടാ ആ കേൾക്കന്നത്,1,1,1,E:/pep/data/images/malayalam\91
117,*മൊബൈലിൽ കുത്തിക്കൊണ്ടിരിക്കുന്ന ഞാൻ ഇപ്പൊ 2:51 ആയി. കൃത്യം 3 മണിക്ക് പഠിക്കാൻ തുടങ്ങണം. അല്പസമയത്തിനുശേഷം സമയം തീർന്നു അയ്യോ! 3:02 ആയോ! സാരമില്ല ഇനിയെപ്പൊ 3:30ന് തുടങ്ങാം!,0,0,0,E:/pep/data/images/malayalam\117
810,REPORTER 18.09.2023 കരുവന്നൂർ ബാങ്ക് തട്ടിപ്പ് 'ഇ.ഡി.യെക്കാൾ മെച്ചപ്പെട്ട പരിശോധനയാണ് പാർട്ടിയുടേത്' എ.സി. മൊയ്തീൻ ⓕⓨⓖⓣ /reporterlive reporterlive.com ട്രോൾ മലയാളം fb.com/troll.malayalam ട്രോൾസ് വല്ല മലം പരിശോധനയും ആയിരിക്കും,0,0,0,E:/pep/data/images/malayalam\810
365,ഒരു കുട്ടിക്കാല നോസ്റ്റു 6161131210 ഇതാണ് ദൈവത്തിന്റെ നമ്പർ... *ചങ്ക് CM CINEMA MIXER 6131210,0,0,0,E:/pep/data/images/malayalam\365
752,MATINEE അവസാനമായി എന്തെങ്കിലും ആഗ്രഹം ഉണ്ടോ? asianet news 10.10.2023 എസ്.എൻ.സി ലാവലിൻ കേസ് ഇന്ന് സുപ്രീംകോടതിയിൽ SNC LAVALIN asianetnews.in എനിക്ക് ലാവലിൻ കേസിന്റെ വിധി വന്നിട്ട് മരിച്ചാൽ-മതി f TMM ട്രോൾ മലയാളം MATINEE,0,0,0,E:/pep/data/images/malayalam\752
402,ഒരു തവണയെങ്കിലും സ്കൂളിൽ നിന്ന് കഞ്ഞിയും പയറും കഴിച്ച് എത്ര പേരുണ്ട്... അതൊരു കുറവായി തോന്നാത്തവർ മാത്രം പറഞ്ഞാൽ മതി...,0,0,0,E:/pep/data/images/malayalam\402
630,കുഴിഞ്ഞ വട .. ചുളുങ്ങിയ ഇടുപ്പ് .. കമ്പി മുഖം .. തുങ്ങിയ മുല .. മുട്ടൻ ചരക്ക് വണ്ടി ട്രോൾ നടിമാർ SONG FOR CHANNEL,1,1,1,E:/pep/data/images/malayalam\630
20,എല്ലാവർക്കും സ്വാതന്ത്ര്വ ദിനാശംസകൾ ! ബിവി* ങ്ഹും ! സ്വാതന്ത്ര്യ ദിനമായിട്ടും നിനക്കെന്താ സന്തോഷമില്ലാത്തെ ! നിങ്ങൾക്ക് സ്വാതന്ത്ര്യം കിട്ടുന്നതുകൊണ്ട് കൊണ്ട് എനിക്കെന്ത്,1,1,0,E:/pep/data/images/malayalam\20
265,GH SCT മലയാളം ഐഡിയ 4G പറമ്പിൽ H+ വീടിന്റെ ഉറ്റത്ത് 2G വീടിന്റെ ഹാളിൽ * എന്റെ റൂമിൽ,0,0,0,E:/pep/data/images/malayalam\265
773,KOK യുടെ ടെയ്ലിൽ എൻഡ് കണ്ട് ഹലോ ! രാജ മദ്രാസീ.. ഫിലെ മേ ക്യാ ഹാൾ ഹെ തീർക്കാൻ പറ്റുമെങ്കിൽ തീർക്കെടാ കണ്ടു തീർത്ത ഞാൻ ഇതിനെ തീർക്കാൻ കഷ്ടപ്പെട്ട്! 2nd പാർട്ട് ഇറക്കി കഷ്ടപ്പെട്ടതല്ലേ ട്രോൾ മലയാളം,0,0,0,E:/pep/data/images/malayalam\773
324,ബിഗ് ബോസ്സിലെ പുതിയ മൽസരാർത്ഥികളെ കാണണംന.. f / KDmeme * ഞാൻ MTM മലയാളം ട്രോൾ മാസ്റ്റേഴ്സ് fb.com/MalayalamTrollMasters ഇവരോക്കെ ആരാ..?,0,0,0,E:/pep/data/images/malayalam\324
