image_id,transcription,india_label,western_label,china_label,image_path
654,She: Recharge panni vidu da ~En unta kaasu illaya ? She : Iruku but nee panni vitta oru happiness da ❤️ Luv u இத்தாதண்டி உருட்டு...,0.0,0.0,0.0,E:/pep/data/images/tamil\654
1339,That look from wife wen u ask her BJ after 3 rounds *wife She: unaku laam manasatchiye ilayada,1.0,1.0,1.0,E:/pep/data/images/tamil\1339
288,"* 10mins into the online class* My mind : innum en da mulichiruka, thoongiru 😴 3:59 pm · 20 Jun 23",0.0,0.0,0.0,E:/pep/data/images/tamil\288
1294,"avar munnadi thangachi thangachi nu paasama koopduringa nu nenachan friend wife ippothan puriyuthu friend pondati ah thangachi nu kooptu, avala koothiyala vechikarthu than ungala mari ambalaingaluku pudikum nu",1.0,1.0,1.0,E:/pep/data/images/tamil\1294
798,"LakshmiMV @mvlakshmibe56 Stopped exercising and eating healthy foods. Started sleeping late, eating junk food, and attaching to everyone. Health: Vendam nae, thappu panra. #lakshmi #mokkapostu MOKKA POSTU",0.0,0.0,0.0,E:/pep/data/images/tamil\798
422,Muthu Kutti Just now Those who read poniyan selvan novel Illa ithu PS illa #muthumc,0.0,0.0,0.0,E:/pep/data/images/tamil\422
183,Indha song oru maari manda kulla ooditae iruku mt VERA LEVEL MEMES _dharshan.__ TAMIL MEMES Google Play,0.0,0.0,0.0,E:/pep/data/images/tamil\183
595,"எல்லாம் இருக்கிறவன், அவனால எதயுமே அனுபவிக்க முடியல .... எதையாவுது அனுபவிக்கணும் ன்னு இருக்கரவன் கிட்ட, எதுவுமே இல்லை.. #புரியல'ல #Life_circle",0.0,0.0,0.0,E:/pep/data/images/tamil\595
129,Muthu Kutti Just now Sis : inaiku night enna ma dinner Mom : dhosai um palaya soorum Sis: palaya sooru yaaruku? naaika poonai ka Mom : anga moonavatha oruthan irupanae Thanda soru me coming from my room : #muthumc VERA LEVEL MEMES f MUTU MC,0.0,0.0,0.0,E:/pep/data/images/tamil\129
1745,தன்னோட கழுத்தில கத்தி வச்சவனையே நம்பி காதலிச்ச தலைவி லட்சுமிக்கு தன்னை காப்பாற்ற போராடிய முத்து பாண்டிய காதலிக்கணும்னு தோணல பார்த்திங்களா இது தான் உலகமேHello,0.0,1.0,1.0,E:/pep/data/images/tamil\1745
265,"BET Me Hi friends, ivan dhan enna crush solitu neraya pick up lines solitu irukaan My crush going to eat anything he gives it to me now Anyways naan idhukellam masiya poradhu illa bye",0.0,0.0,0.0,E:/pep/data/images/tamil\265
1637,தீபாவளிக்கு என்னென்ன பட்டாசு வாங்கலாமன்னு #குழந்தைகள் எவ்வளவு ரூபாய்க்கு பட்டு சேலை வாங்கலாமன்னு #மனைவி இதுக்கெல்லாம் எவன்கிட்ட கடன் வாங்கலாமன்னு #கணவன். oneindia tamil,0.0,0.0,0.0,E:/pep/data/images/tamil\1637
760,Tshirt 499 /- only @colorbytharam Hoodie 750 /- Ella collection uh tharama irundha enaya panrathu,0.0,0.0,0.0,E:/pep/data/images/tamil\760
1626,A.S.MANI MC *frd Dp ல பாத்த Milk மாறி இருக்க.. Story ல பாத்த Silk மாறி இருக்க.. (That Fake Id) நேர்ல பாத்த Hulk மாறி இருப்பன்.. மூதேவி,0.0,1.0,1.0,E:/pep/data/images/tamil\1626
1368,When Top Mama Brings His Gang Of friends Top: Chelamla Enbuji Pottachi LA Aniku Enaku Epdi Vailaye Kanji uh Eduthayo Adhemari Ivanungaluku Senji Vidudi Sona Nambamatranunga Sara Pottachi: Ayo Vaiya Thorandha Day full Pool Uh Viduvununga Polaye Ushera Vaia Thorakama Munjilaye Vangiranum,1.0,1.0,1.0,E:/pep/data/images/tamil\1368
1154,SINGLE SEYALGAL ELLAME PERFECT A IRUNDHA ENAPA PANRADHU,1.0,1.0,1.0,E:/pep/data/images/tamil\1154
625,என்னடா வர வர என் கண்ணுனுக்கு amala shaji-லாம் அழகா தெரியுறா...?? ~காஜீ முத்திருச்சனே....,0.0,0.0,0.0,E:/pep/data/images/tamil\625
1672,நாளை முதல் [மே 8] அனைத்து சாதாரண நகரப் பேருந்துகளிலும் பயணம் செய்ய மகளிருக்கு இலவசம் - முதல்வர் மு.க.ஸ்டாலின் முதல் கையெழுத்து private bus conductors Nallaila irunthu oruthiyium namba busla yera mattalunga,0.0,0.0,0.0,E:/pep/data/images/tamil\1672
526,Muthiah muralidharan has struggled a lot to reach this place. He was targeted because he was srilankan tamilan and had faced many issue because he is from srilanka! Muttiah Muralitharan ku Ivlo periya Inspirational backstory ah 😳,0.0,0.0,0.0,E:/pep/data/images/tamil\526
1556,இறைவன் திருவடிவேல் புகழ் 60 எவ்வுலகும் உயர்வுகள் டிரஸ்ட் - அண்ணன் ராஜா காரன் SK FANS * SK girl's fans PRIYAS mt அந்த இடத்தில் நான் இருந்து இருந்து mt ஐயோ!! எப்படி இருந்து இருக்கும்!!,0.0,0.0,0.0,E:/pep/data/images/tamil\1556
1443,மனைவி எவ்வளவு அழகாக இருந்தாலும்.அடுத்த பெண்ணை திரும்பி பார்க்கிறது.ஆண்களின் குணம்.1 லட்சத்துக்கு பட்டு புடவை எடுத்தாலும்.பக்கத்தில் உள்ள பொண்ணோட புடவை நல்லா இருக்கான்னு நீங்கள் பார்க்குறது இல்லையா.அது மாதிரி தான் இதுவும்.சும்மா பார்க்குறோம்.. யாமிமுக்க பயமேன்,1.0,1.0,0.0,E:/pep/data/images/tamil\1443
168,Muthu Kutti Just now 🙏🚶‍♂️ #muthumc *me *bug En pola Enga porathu...,0.0,0.0,0.0,E:/pep/data/images/tamil\168
883,Flipkart & amazon ha vida products enga kammi rate la kedaikum @namma ooru kadai page la kedaikum poi paarunga Apadiye follow panitu ponga ❤️,0.0,0.0,0.0,E:/pep/data/images/tamil\883
1680,"""குழம்புல உப்பே இல்ல, நீயெல்லாம் ஒரு பொம்பளையா, மூஞ்சப்பாரும்"" *Home ""மங்கையராய் பிறப்பதற்கே, மாதவம் செய்திடல் வேண்டுமம்மா"" *social media",0.0,0.0,0.0,E:/pep/data/images/tamil\1680
1439,பேருந்து ஓட்டுநர் பணியிலிருந்து நீக்கப்பட்ட கோவை ஷர்மிளா.. தற்போது போர் விமான ✈️ ஓட்டுனராக சேர்ந்துள்ளார் ❤️ Blazzy Rajesh,1.0,0.0,1.0,E:/pep/data/images/tamil\1439
1465,Chats Priya online Hi di eanna panra 10:30 PM Padichudu iruken da ne eanna panra 10:3 PM Nan adichuttu iruken 10:32 PM sorry padichuttu iruken 10:32 PM ok da sekaram adichuttu pooi thunku 10:32 PM sorry padichuttu pooi thungu 10:32 PM,1.0,0.0,0.0,E:/pep/data/images/tamil\1465
1604,Unga ponna ungala vida nala pathupen sir WasIMeMes Samanthaa dead Samantha daddy Vijay,0.0,0.0,0.0,E:/pep/data/images/tamil\1604
187,"Muthu Kutti 9m ""உங்க வாழ்க்கையை அழகாக அமைக்க பல கஷ்டங்களை பார்த்தவரு டா உங்க அப்பா❤️✨"" #muthumc *அம்மா VERA LEVEL MEMES (logo text) VERA LEVEL MEMES",0.0,0.0,0.0,E:/pep/data/images/tamil\187
983,"#Amma : Epo da vetuku varuva? 8 manika varen ma,. Time 8.01 ~ Mom...",0.0,0.0,0.0,E:/pep/data/images/tamil\983
1185,முடியும் வரை முயற்சி செய் ஆட்டோ பின்னால்தான் எழுதினீங்க.. இப்போ ஆண்டி பின்னாலயும் எழுத ஆரம்பிச்சிட்டாங்க..,1.0,1.0,0.0,E:/pep/data/images/tamil\1185
49,*** 8Yrs Old me ** Me playing with pakkathu veetu Nibbi !! Me - நமக்கு இன்னிக்கு கல்யாணம் !! டும் டும் டும் ... கல்யாணம் முடிஞ்சுது இனி பர்ஸ்ட் நைட் !! #டாடி - தம்பி ... தம்பி,0.0,0.0,0.0,E:/pep/data/images/tamil\49
1149,மாமியார் மருமகள் உனக்கு டீ போட தெரியுமா டீ போட தெரியுமாவா.. குக்கர்ல பால ஊத்தி மூணு விசில் விட்டு அப்படியே பொங்கவிடுவோம்,1.0,1.0,0.0,E:/pep/data/images/tamil\1149
928,"Artist aganum nu movie la nadikanum nu asa irukku but athukana chance dha kidaika mattuthu Feature film, pilot film, short film idhula nalla chance tharanga, produce um panranga @kish_jk va Contact pannuga",0.0,0.0,0.0,E:/pep/data/images/tamil\928
224,Muthu Kutti 1m *No body* Food bloggers with மாலா டம் டம் மஞ்சுரா டம் டம் song Parota kum மாலா டம் டம் song kum enna da samantham #muthumc f MUTHU MC VERA LEVEL MEMES Vera level Memes,0.0,0.0,0.0,E:/pep/data/images/tamil\224
780,Praba De Villiers @Prabaofficial98 Veeran.. Naalaiyum leave eduka thayaar aanan! 🏃‍♂️ MOKKA POSTU,0.0,0.0,0.0,E:/pep/data/images/tamil\780
247,Muthu Kutti 2m ஜோசியர்: உங்க பையனுக்கு பெண்களால் சிக்கல் மற்றும் ஆபத்து ஏற்படலாம்... Single me : அண்ணா ஏதேதோ சொல்றியோனா #muthumc mt,0.0,0.0,0.0,E:/pep/data/images/tamil\247
92,For the next two days Kozhukatta Sundal TN-59-A-2853 mt Sundal Kozhukatta VERA LEVEL MEMES TAMIL MEMES,0.0,0.0,0.0,E:/pep/data/images/tamil\92
1361,Bestie: Enadi Leggings Ivlo TighTuh Poturuka Fingeringa Senjividalamnu Kaivecha Enkai Matikichudi Ahhh Softuh Irukudi Cloth 🤤 Kuthuvilaku : Shhh Poruki Unamood Ethalamnu Potuvandha Viralveche Otaaya Akiruvapola Leggings uh Pavi Sikram Watchman Varadhukula Avuthu Marathadilaye Vechu Rendu Shot Adida 🐒,1.0,1.0,1.0,E:/pep/data/images/tamil\1361
559,PathuThala opened to positive reviews Continuous Blockbuster for Str ❤️🔥 tnb,0.0,0.0,0.0,E:/pep/data/images/tamil\559
1060,~ மாமியார் : சமைக்க தெரியுமா? ~ புதுமருமகள்: தெரியுமா வா.. அடுப்ப பத்தவச்ச சுடுதண்ணிய காயவச்ச .. மேகி பக்கெட் கொட்டி...அப்படியே கரண்டிய வச்ச அலசவும் 😂,1.0,1.0,1.0,E:/pep/data/images/tamil\1060
519,Stokes neenga ennaga ipd adringa Pa _vishal_sammy_,0.0,0.0,0.0,E:/pep/data/images/tamil\519
741,Rohini theatre after screening Leo trailer 😬 MOKKA POSTU @dpak_97 💬 Matured fans Intha mari pandrapo dhn verupu aguthu,0.0,0.0,0.0,E:/pep/data/images/tamil\741
1045,"He : சாப்பிடியா.!! She : இல்ல, லேட்டாகும்..! He : ஏன்..? She : கல்யாணத்துக்கு அப்ரம் நீ வேல முடிஞ்சி லேட்டாதான வருவ. அதான் இப்ப இருந்தே பழகிக்கலாமன்னூ..!!",1.0,1.0,1.0,E:/pep/data/images/tamil\1045
1334,Ena da paakra? Paaka nalla ponnu mathiri iruka Pool OOmba teriyathu nu nenachiya @tamil.troll Intha vidhya vaai vacha kanji kudikama po maata @tamil.troll Oru drop vidama kudukurathu than da gethu athunala than enna thevadhai nu solranga,1.0,1.0,1.0,E:/pep/data/images/tamil\1334
1049,(மைண்ட் வாய்ஸ் : எதுக்கு இவ அழுக்கு தண்ணிய டைனிங் டேபிள் மேல வச்சிருக்கா ..ம் புரியல்லையே) மனைவி : என்னங்க ரசம் சாப்பிட்டிங்களா ? நல்லா இருக்கா ?,1.0,1.0,1.0,E:/pep/data/images/tamil\1049
287,Enaku irukka ella prechanaikkum dhooo Idhanala dhan My phone VERA LEVEL MEMES,0.0,0.0,0.0,E:/pep/data/images/tamil\287
710,mt Today Happy valentine's day 12:53 am Love you 12:53 am 12:54 am mt _dharshan._ But as a friend 12:54 am Message Get it on Google Play TAMIL MEMES,0.0,0.0,0.0,E:/pep/data/images/tamil\710
570,"Dharshan Just now Beef>>> chicken, paneer _dharshan._ VERA LEVEL MEMES",0.0,0.0,0.0,E:/pep/data/images/tamil\570
