image_id,transcriptions,original_labels,irish_labels,chinese_labels
654,She: Recharge panni vidu da ~En unta kaasu illaya ? She : Iruku but nee panni vitta oru happiness da ❤️ Luv u இத்தாதண்டி உருட்டு...,not-misogyny,not-misogyny,not-misogyny
1339,That look from wife wen u ask her BJ after 3 rounds *wife She: unaku laam manasatchiye ilayada,misogyny,misogyny,misogyny
288,"* 10mins into the online class* My mind : innum en da mulichiruka, thoongiru 😴 3:59 pm · 20 Jun 23",not-misogyny,not-misogyny,not-misogyny
1294,"avar munnadi thangachi thangachi nu paasama koopduringa nu nenachan friend wife ippothan puriyuthu friend pondati ah thangachi nu kooptu, avala koothiyala vechikarthu than ungala mari ambalaingaluku pudikum nu",misogyny,misogyny,misogyny
798,"LakshmiMV @mvlakshmibe56 Stopped exercising and eating healthy foods. Started sleeping late, eating junk food, and attaching to everyone. Health: Vendam nae, thappu panra. #lakshmi #mokkapostu MOKKA POSTU",not-misogyny,not-misogyny,not-misogyny
422,Muthu Kutti Just now Those who read poniyan selvan novel Illa ithu PS illa #muthumc,not-misogyny,not-misogyny,not-misogyny
183,Indha song oru maari manda kulla ooditae iruku mt VERA LEVEL MEMES _dharshan.__ TAMIL MEMES Google Play,not-misogyny,not-misogyny,not-misogyny
595,"எல்லாம் இருக்கிறவன், அவனால எதயுமே அனுபவிக்க முடியல .... எதையாவுது அனுபவிக்கணும் ன்னு இருக்கரவன் கிட்ட, எதுவுமே இல்லை.. #புரியல'ல #Life_circle",not-misogyny,not-misogyny,not-misogyny
129,Muthu Kutti Just now Sis : inaiku night enna ma dinner Mom : dhosai um palaya soorum Sis: palaya sooru yaaruku? naaika poonai ka Mom : anga moonavatha oruthan irupanae Thanda soru me coming from my room : #muthumc VERA LEVEL MEMES f MUTU MC,not-misogyny,not-misogyny,not-misogyny
1745,தன்னோட கழுத்தில கத்தி வச்சவனையே நம்பி காதலிச்ச தலைவி லட்சுமிக்கு தன்னை காப்பாற்ற போராடிய முத்து பாண்டிய காதலிக்கணும்னு தோணல பார்த்திங்களா இது தான் உலகமேHello,not-misogyny,misogyny,misogyny
265,"BET Me Hi friends, ivan dhan enna crush solitu neraya pick up lines solitu irukaan My crush going to eat anything he gives it to me now Anyways naan idhukellam masiya poradhu illa bye",not-misogyny,not-misogyny,not-misogyny
1637,தீபாவளிக்கு என்னென்ன பட்டாசு வாங்கலாமன்னு #குழந்தைகள் எவ்வளவு ரூபாய்க்கு பட்டு சேலை வாங்கலாமன்னு #மனைவி இதுக்கெல்லாம் எவன்கிட்ட கடன் வாங்கலாமன்னு #கணவன். oneindia tamil,not-misogyny,not-misogyny,not-misogyny
760,Tshirt 499 /- only @colorbytharam Hoodie 750 /- Ella collection uh tharama irundha enaya panrathu,not-misogyny,not-misogyny,not-misogyny
1626,A.S.MANI MC *frd Dp ல பாத்த Milk மாறி இருக்க.. Story ல பாத்த Silk மாறி இருக்க.. (That Fake Id) நேர்ல பாத்த Hulk மாறி இருப்பன்.. மூதேவி,not-misogyny,misogyny,misogyny
1368,When Top Mama Brings His Gang Of friends Top: Chelamla Enbuji Pottachi LA Aniku Enaku Epdi Vailaye Kanji uh Eduthayo Adhemari Ivanungaluku Senji Vidudi Sona Nambamatranunga Sara Pottachi: Ayo Vaiya Thorandha Day full Pool Uh Viduvununga Polaye Ushera Vaia Thorakama Munjilaye Vangiranum,misogyny,misogyny,misogyny
1154,SINGLE SEYALGAL ELLAME PERFECT A IRUNDHA ENAPA PANRADHU,misogyny,misogyny,misogyny
625,என்னடா வர வர என் கண்ணுனுக்கு amala shaji-லாம் அழகா தெரியுறா...?? ~காஜீ முத்திருச்சனே....,not-misogyny,not-misogyny,not-misogyny
1672,நாளை முதல் [மே 8] அனைத்து சாதாரண நகரப் பேருந்துகளிலும் பயணம் செய்ய மகளிருக்கு இலவசம் - முதல்வர் மு.க.ஸ்டாலின் முதல் கையெழுத்து private bus conductors Nallaila irunthu oruthiyium namba busla yera mattalunga,not-misogyny,not-misogyny,not-misogyny
526,Muthiah muralidharan has struggled a lot to reach this place. He was targeted because he was srilankan tamilan and had faced many issue because he is from srilanka! Muttiah Muralitharan ku Ivlo periya Inspirational backstory ah 😳,not-misogyny,not-misogyny,not-misogyny
1556,இறைவன் திருவடிவேல் புகழ் 60 எவ்வுலகும் உயர்வுகள் டிரஸ்ட் - அண்ணன் ராஜா காரன் SK FANS * SK girl's fans PRIYAS mt அந்த இடத்தில் நான் இருந்து இருந்து mt ஐயோ!! எப்படி இருந்து இருக்கும்!!,not-misogyny,not-misogyny,not-misogyny
1443,மனைவி எவ்வளவு அழகாக இருந்தாலும்.அடுத்த பெண்ணை திரும்பி பார்க்கிறது.ஆண்களின் குணம்.1 லட்சத்துக்கு பட்டு புடவை எடுத்தாலும்.பக்கத்தில் உள்ள பொண்ணோட புடவை நல்லா இருக்கான்னு நீங்கள் பார்க்குறது இல்லையா.அது மாதிரி தான் இதுவும்.சும்மா பார்க்குறோம்.. யாமிமுக்க பயமேன்,misogyny,misogyny,not-misogyny
168,Muthu Kutti Just now 🙏🚶‍♂️ #muthumc *me *bug En pola Enga porathu...,not-misogyny,not-misogyny,not-misogyny
883,Flipkart & amazon ha vida products enga kammi rate la kedaikum @namma ooru kadai page la kedaikum poi paarunga Apadiye follow panitu ponga ❤️,not-misogyny,not-misogyny,not-misogyny
