image_id,transcriptions,original_labels,indian_labels,irish_labels
1134,如果结婚是好事的话 按照我国的国情 应该托关系走后门才能结婚,misogyny,misogyny,not-misogyny
901,狠狠期待 好了嘛,not-misogyny,not-misogyny,not-misogyny
683,为什么不生孩子？ 让男的生呗 他们不是先生嘛？,misogyny,misogyny,not-misogyny
768,搞不懂呢 你知道滴 我不过是 来自大山深处的吗喽,not-misogyny,not-misogyny,not-misogyny
178,买完同款买同款 家里可以开展览,not-misogyny,not-misogyny,not-misogyny
753,叉会腰,not-misogyny,not-misogyny,not-misogyny
630,学习人出没,not-misogyny,not-misogyny,not-misogyny
87,人间不值得,not-misogyny,not-misogyny,not-misogyny
1197,我的心态 又不会死 大不了死 死了正好,not-misogyny,not-misogyny,not-misogyny
1610,当你坚持做自己，并且家人都支持你时：,not-misogyny,not-misogyny,not-misogyny
1000,我这样说 哥哥 你女朋友不会生气吧,not-misogyny,not-misogyny,not-misogyny
55,好荒唐 像是数学题精密计算后 车上只有0.5人的那种荒唐,not-misogyny,not-misogyny,not-misogyny
1278,我是自愿打工的,not-misogyny,not-misogyny,not-misogyny
222,不要孩子 你将来病了怎么办？ 怎么的，这孩子是药引子啊？,misogyny,not-misogyny,not-misogyny
114,有点想你了 不过问题不搭 看帅哥能解决的 尽量不打扰你,not-misogyny,not-misogyny,not-misogyny
725,工作使我快乐！,not-misogyny,not-misogyny,not-misogyny
1679,跟老公加亲戚关系不好 花钱大手大脚,misogyny,not-misogyny,misogyny
818,心情很好 45°+1 previous adj.以前的 所以嘴角上扬的弧度比平时多了一度,not-misogyny,not-misogyny,not-misogyny
175,今天工作do了吗？ 微do但do的不多 没有从早到晚都在do,not-misogyny,not-misogyny,not-misogyny
1201,见者生儿子,misogyny,not-misogyny,not-misogyny
1329,今天周五,not-misogyny,not-misogyny,not-misogyny
19,操你妈 贱货,misogyny,misogyny,misogyny
424,万试 OK,not-misogyny,not-misogyny,not-misogyny
1337,说我态度有问题 是因为我占理了,misogyny,misogyny,not-misogyny
286,我为什么非要伺候一个男人呢？ 脚不洗牙不刷胡子不刮,misogyny,misogyny,not-misogyny
1448,婚前：孩子生了我带 婚后：你生的孩子，你不带谁带,misogyny,misogyny,not-misogyny
429,别人的假期,not-misogyny,not-misogyny,not-misogyny
1286,以前 以前叫托 现在 现在叫探店,not-misogyny,not-misogyny,not-misogyny
1520,你不结婚我们走了以后你怎么办 你们要是不放心，我就跟你们一起走,misogyny,not-misogyny,not-misogyny
32,打起精神来,not-misogyny,not-misogyny,not-misogyny
695,家产都是儿子的，养老也是儿子的事情。,misogyny,not-misogyny,not-misogyny
1245,朕，龙颜甚悦！,not-misogyny,not-misogyny,not-misogyny
215,警惕花言巧语 致敬、独立女性,not-misogyny,not-misogyny,not-misogyny
602,如果天天上班的话 没点素质也正常吧,not-misogyny,not-misogyny,not-misogyny
327,工作do了吗？ 微do,not-misogyny,not-misogyny,not-misogyny
